
2025-02-27T13:24:23+0100
==========
Pool Name                         Active   Pending      Completed   Blocked  All time blocked
ReadStage                              0         0       19998306         0                 0
ContinuousPagingStage                  0         0              0         0                 0
MiscStage                              0         0              0         0                 0
CompactionExecutor                     0         0        1472963         0                 0
MutationStage                          0         0     2924147305         0                 0
GossipStage                            0         0        1728537         0                 0
RequestResponseStage                   0         0      197955821         0                 0
ReadRepairStage                        0         0         214506         0                 0
CounterMutationStage                   0         0              0         0                 0
MemtablePostFlush                      0         0          17886         0                 0
ValidationExecutor                     0         0           7493         0                 0
MemtableFlushWriter                    0         0           3924         0                 0
ViewMutationStage                      0         0              0         0                 0
CacheCleanupExecutor                   0         0              0         0                 0
CommitLogArchiver                      0         0           1730         0                 0
MemtableReclaimMemory                  0         0           3924         0                 0
PendingRangeCalculator                 0         0             34         0                 0
AntiCompactionExecutor                 0         0              1         0                 0
SecondaryIndexManagement               0         0              0         0                 0
HintsDispatcher                        0         0           1230         0                 0
Native-Transport-Requests              1         0       46623835         0            359617
MigrationStage                         0         0            263         0                 0
PerDiskMemtableFlushWriter_0           0         0           3923         0                 0
Sampler                                0         0              0         0                 0
InternalResponseStage                  0         0        1236815         0                 0
AntiEntropyStage                       0         0          16391         0                 0

Message type           Dropped                  Latency waiting in queue (micros)                                    
                                             50%               95%               99%               Max
READ                      1307              0.00              0.00         125239.16        2874382.63
RANGE_SLICE                  0              0.00              0.00              0.00              0.00
_TRACE                       0               N/A               N/A               N/A               N/A
HINT                      3240              0.00              0.00              0.00              0.00
MUTATION                528249              0.00              0.00              0.00              0.00
COUNTER_MUTATION             0               N/A               N/A               N/A               N/A
BATCH_STORE                  0               N/A               N/A               N/A               N/A
BATCH_REMOVE                 0               N/A               N/A               N/A               N/A
REQUEST_RESPONSE         39822              0.00              0.00              0.00          12108.97
PAGED_RANGE                  0               N/A               N/A               N/A               N/A
READ_REPAIR                  0              0.00              0.00              0.00              0.00

2025-02-27T13:24:37+0100
==========
Pool Name                         Active   Pending      Completed   Blocked  All time blocked
ReadStage                              0         0       19999118         0                 0
ContinuousPagingStage                  0         0              0         0                 0
MiscStage                              0         0              0         0                 0
CompactionExecutor                     0         0        1472963         0                 0
MutationStage                          0         0     2924147309         0                 0
GossipStage                            0         0        1728573         0                 0
RequestResponseStage                   0         0      197956504         0                 0
ReadRepairStage                        0         0         214525         0                 0
CounterMutationStage                   0         0              0         0                 0
MemtablePostFlush                      0         0          17886         0                 0
ValidationExecutor                     0         0           7493         0                 0
MemtableFlushWriter                    0         0           3924         0                 0
ViewMutationStage                      0         0              0         0                 0
CacheCleanupExecutor                   0         0              0         0                 0
CommitLogArchiver                      0         0           1730         0                 0
MemtableReclaimMemory                  0         0           3924         0                 0
PendingRangeCalculator                 0         0             34         0                 0
AntiCompactionExecutor                 0         0              1         0                 0
SecondaryIndexManagement               0         0              0         0                 0
HintsDispatcher                        0         0           1230         0                 0
Native-Transport-Requests              0         0       46624513         0            359617
MigrationStage                         0         0            263         0                 0
PerDiskMemtableFlushWriter_0           0         0           3923         0                 0
Sampler                                0         0              0         0                 0
InternalResponseStage                  0         0        1236815         0                 0
AntiEntropyStage                       0         0          16391         0                 0

Message type           Dropped                  Latency waiting in queue (micros)                                    
                                             50%               95%               99%               Max
READ                      1307              0.00              0.00        2286440.73        2874382.63
RANGE_SLICE                  0              0.00              0.00              0.00              0.00
_TRACE                       0               N/A               N/A               N/A               N/A
HINT                      3240              0.00              0.00              0.00              0.00
MUTATION                528249              0.00              0.00              0.00              0.00
COUNTER_MUTATION             0               N/A               N/A               N/A               N/A
BATCH_STORE                  0               N/A               N/A               N/A               N/A
BATCH_REMOVE                 0               N/A               N/A               N/A               N/A
REQUEST_RESPONSE         39822              0.00              0.00              0.00          12108.97
PAGED_RANGE                  0               N/A               N/A               N/A               N/A
READ_REPAIR                  0              0.00              0.00              0.00              0.00

2025-02-27T13:24:50+0100
==========
Pool Name                         Active   Pending      Completed   Blocked  All time blocked
ReadStage                              0         0       19999572         0                 0
ContinuousPagingStage                  0         0              0         0                 0
MiscStage                              0         0              0         0                 0
CompactionExecutor                     0         0        1472963         0                 0
MutationStage                          0         0     2924147313         0                 0
GossipStage                            0         0        1728609         0                 0
RequestResponseStage                   0         0      197956930         0                 0
ReadRepairStage                        0         0         214545         0                 0
CounterMutationStage                   0         0              0         0                 0
MemtablePostFlush                      0         0          17886         0                 0
ValidationExecutor                     0         0           7493         0                 0
MemtableFlushWriter                    0         0           3924         0                 0
ViewMutationStage                      0         0              0         0                 0
CacheCleanupExecutor                   0         0              0         0                 0
CommitLogArchiver                      0         0           1730         0                 0
MemtableReclaimMemory                  0         0           3924         0                 0
PendingRangeCalculator                 0         0             34         0                 0
AntiCompactionExecutor                 0         0              1         0                 0
SecondaryIndexManagement               0         0              0         0                 0
HintsDispatcher                        0         0           1230         0                 0
Native-Transport-Requests              0         0       46624932         0            359617
MigrationStage                         0         0            263         0                 0
PerDiskMemtableFlushWriter_0           0         0           3923         0                 0
Sampler                                0         0              0         0                 0
InternalResponseStage                  0         0        1236815         0                 0
AntiEntropyStage                       0         0          16391         0                 0

Message type           Dropped                  Latency waiting in queue (micros)                                    
                                             50%               95%               99%               Max
